gender,race/ethnicity,parental level of education,lunch,test preparation course,pass exam,
male,group E,some college,standard,none,Yes,
male,group E,high school,free/reduced,none,Yes,
female,group B,high school,standard,completed,No,
male,group A,associate's degree,standard,none,No,
female,group B,high school,standard,none,No,
female,group E,bachelor's degree,free/reduced,none,No,
male,group C,high school,free/reduced,none,Yes,
female,group E,some high school,standard,none,No,
female,group D,some college,free/reduced,none,No,
female,group E,high school,standard,none,Yes,
female,group B,associate's degree,free/reduced,none,No,
male,group D,bachelor's degree,standard,completed,No,
female,group E,high school,standard,completed,Yes,
female,group D,some high school,standard,completed,No,
male,group C,bachelor's degree,standard,completed,Yes,
male,group B,some college,standard,completed,No,
male,group C,some college,standard,none,Yes,
male,group D,some college,standard,completed,No,
male,group C,associate's degree,standard,completed,Yes,
female,group B,high school,free/reduced,completed,No,
